time,prefix,asID,OriginMatch,IRR,Parent,SameOrg,PC,Depen,Distance
1748642402,103.138.164.0/24,23923,0.0,0.0,0.0,0.0,0.0,0.0,0.09499421301006429
1748642402,103.138.164.0/23,23923,0.0,0.0,0.0,0.0,0.0,0.0,0.09499421301006429
1748642408,103.138.165.0/24,23923,0.0,0.0,0.0,0.0,0.0,0.0,0.10226202319007663
1748642533,62.76.74.0/23,51408,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1748642627,31.56.77.0/24,16276,0.0,0.0,0.0,0.0,0.0,0.0,0.9945043152342534
1748642627,203.127.225.0/24,17894,0.0,0.0,0.0,0.0,0.0,0.0,0.02993879165247012
1748642628,69.197.180.0/24,64236,0.0,0.0,0.0,0.0,1.0,1.0,0.9079971336101069
1748642629,142.154.208.0/24,29838,0.0,0.0,0.0,0.0,0.0,0.0,0.9733821072289717
1748642629,180.191.80.0/22,4775,0.0,1.0,1.0,0.0,1.0,1.0,0.9534261834654162
1748642629,185.23.237.0/24,16276,0.0,0.0,0.0,0.0,0.0,0.0,0.9924306247419068
1748642629,120.28.196.0/24,132199,0.0,1.0,1.0,0.0,1.0,1.0,0.962118389400406
1748642629,120.28.197.0/24,132199,0.0,1.0,1.0,0.0,1.0,1.0,0.962118389400406
1748642629,69.172.128.0/24,26627,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1748642629,120.28.198.0/24,132199,0.0,1.0,1.0,0.0,1.0,1.0,0.9624304752788265
1748642630,142.154.207.0/24,50079,0.0,0.0,0.0,0.0,1.0,0.0,0.9950565680924215
1748642630,120.28.199.0/24,132199,0.0,1.0,1.0,0.0,1.0,1.0,0.9624304752788265
1748642630,23.26.249.0/24,46450,0.0,0.0,0.0,0.0,0.0,0.0,0.07595051576994487
1748642632,45.146.80.0/24,16276,0.0,0.0,0.0,0.0,0.0,0.0,0.9937445747159349
1748642632,31.56.59.0/24,16276,0.0,0.0,0.0,0.0,0.0,0.0,0.9945043152342534
1748642632,103.127.242.0/24,18464,0.0,0.0,0.0,0.0,0.0,0.0,0.9916430839456932
1748642633,173.208.231.0/24,33387,0.0,0.0,0.0,0.0,1.0,1.0,0.9074765401992845
1748642636,120.28.214.0/24,132199,0.0,1.0,1.0,0.0,1.0,1.0,0.962493293317611
1748642642,120.28.215.0/24,132199,0.0,1.0,1.0,0.0,1.0,1.0,0.9623674467112363
1748642642,200.84.128.0/19,8048,0.0,1.0,0.0,1.0,0.0,0.0,0.8771208074661455
1748642646,45.181.204.0/24,262186,0.0,0.0,0.0,0.0,1.0,0.0,0.7364293461224773
1748642767,5.226.191.0/24,20473,0.0,0.0,0.0,0.0,0.0,0.0,0.9953368660996708
1748642768,103.238.128.0/24,151106,0.0,0.0,0.0,0.0,0.0,0.0,0.9697387822737911
1748642824,178.173.232.0/22,6079,0.0,0.0,0.0,0.0,0.0,0.0,0.9985816519972808
1748642983,103.123.121.0/24,138072,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1748643085,177.11.173.0/24,52624,0.0,0.0,0.0,0.0,0.0,0.0,0.9840411796024195
1748643107,181.233.80.0/22,268314,0.0,0.0,0.0,0.0,1.0,0.0,0.9629480642132822
1748643175,123.231.206.0/24,133841,0.0,1.0,0.0,1.0,1.0,1.0,0.8921649253690807
1748643186,140.233.187.0/24,201949,0.0,0.0,0.0,0.0,0.0,0.0,0.997202712045737
1748643190,81.181.175.0/24,34304,0.0,0.0,0.0,0.0,0.0,0.0,0.9855263862865259
1748643190,194.102.217.0/24,34304,0.0,0.0,0.0,0.0,0.0,0.0,0.9855263862865259
1748643195,160.187.159.0/24,1,0.0,0.0,0.0,0.0,0.0,0.0,0.9967402489115057
1748643265,103.49.167.0/24,45194,0.0,0.0,1.0,0.0,0.0,0.0,0.903940438506509
1748643352,1.7.205.0/24,140202,0.0,0.0,0.0,0.0,1.0,1.0,0.0
1748643352,1.7.191.0/24,137130,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1748643352,1.7.228.0/24,137130,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1748643352,1.6.219.0/24,137130,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1748643352,1.7.178.0/24,137130,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1748643382,14.195.208.0/20,55441,0.0,1.0,0.0,1.0,1.0,1.0,0.9524543794720449
1748643382,14.96.48.0/22,45820,0.0,0.0,0.0,1.0,1.0,1.0,0.9515447658248377
1748643382,14.192.4.0/22,400619,0.0,0.0,0.0,0.0,1.0,1.0,0.9834597160593246
1748643412,27.110.227.0/24,21433,0.0,0.0,0.0,0.0,1.0,0.0,0.9970045418837462
1748643412,27.110.215.0/24,137417,0.0,0.0,0.0,1.0,1.0,0.0,0.0
1748643412,27.107.196.0/23,45820,0.0,0.0,0.0,0.0,1.0,0.0,0.9655344176198168
1748643412,27.107.203.0/24,45820,0.0,0.0,0.0,0.0,1.0,0.0,0.9655344176198168
1748643412,27.107.204.0/24,45820,0.0,0.0,0.0,0.0,1.0,0.0,0.9655344176198168
1748643412,27.107.176.0/20,45820,0.0,0.0,0.0,0.0,1.0,0.0,0.9515447658248377
1748643412,27.107.202.0/24,45820,0.0,0.0,0.0,1.0,1.0,0.0,0.9655344176198168
1748643414,103.62.0.0/22,17941,0.0,0.0,0.0,0.0,0.0,0.0,0.9884985196745895
1748643423,103.27.24.0/22,17816,0.0,0.0,0.0,0.0,0.0,0.0,0.9439010101154071
1748643423,202.168.160.0/19,17816,0.0,0.0,0.0,0.0,0.0,0.0,0.9439010101154071
1748643424,43.241.51.0/24,23650,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1748643473,45.112.58.0/24,55352,0.0,0.0,0.0,0.0,0.0,0.0,0.2601890556192022
1748643473,58.69.38.0/24,21859,0.0,1.0,0.0,0.0,1.0,0.0,0.9966362427467635
1748643473,49.249.226.0/24,45820,0.0,0.0,0.0,1.0,1.0,1.0,0.9515447658248377
1748643473,45.249.124.0/22,4758,0.0,0.0,0.0,0.0,0.0,0.0,0.9052127323061098
1748643473,45.248.169.0/24,132573,0.0,0.0,0.0,0.0,0.0,0.0,0.903940438506509
1748643473,45.248.168.0/24,132573,0.0,0.0,0.0,0.0,0.0,0.0,0.903940438506509
1748643473,66.110.74.0/24,33576,0.0,0.0,0.0,0.0,1.0,0.0,0.9888337241040361
1748643473,45.127.203.0/24,24554,0.0,0.0,0.0,0.0,0.0,0.0,0.9491169484391456
1748643473,45.127.202.0/24,24554,0.0,0.0,0.0,0.0,0.0,0.0,0.9491169484391456
1748643473,45.127.201.0/24,24554,0.0,0.0,0.0,0.0,0.0,0.0,0.9491169484391456
1748643473,45.127.200.0/24,24554,0.0,0.0,0.0,0.0,0.0,0.0,0.9491169484391456
1748643473,59.185.20.0/24,9829,0.0,1.0,1.0,0.0,1.0,1.0,0.9640349231654846
1748643487,104.132.12.0/24,4637,0.0,0.0,0.0,0.0,0.0,0.0,0.9901572815246319
1748643498,103.71.70.0/24,23650,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1748643498,103.71.71.0/24,23650,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1748643498,103.71.69.0/24,23650,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1748643503,103.67.23.0/24,150718,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1748643503,103.99.66.0/24,140148,0.0,0.0,0.0,0.0,0.0,0.0,0.9283452514950798
1748643503,103.99.67.0/24,140148,0.0,0.0,0.0,0.0,0.0,0.0,0.9283452514950798
1748643503,103.159.100.0/23,134021,0.0,0.0,0.0,0.0,0.0,0.0,0.9352612891938619
1748643503,103.139.136.0/23,21859,0.0,0.0,0.0,0.0,1.0,0.0,0.9958442697825577
1748643503,115.124.40.0/24,56124,0.0,0.0,0.0,0.0,0.0,0.0,0.9300077884300357
1748643503,115.124.46.0/24,56124,0.0,0.0,0.0,0.0,0.0,0.0,0.9300077884300357
1748643503,115.109.128.0/17,17908,0.0,1.0,0.0,1.0,1.0,1.0,0.0
1748643503,103.239.170.0/24,133001,0.0,0.0,0.0,0.0,0.0,0.0,0.9507848522657242
1748643503,103.239.171.0/24,55352,0.0,0.0,0.0,0.0,0.0,0.0,0.7133949598700301
1748643503,103.172.58.0/23,135799,0.0,0.0,0.0,0.0,0.0,0.0,0.15499440998867153
1748643503,103.239.168.0/24,133001,0.0,0.0,0.0,0.0,0.0,0.0,0.9507848522657242
1748643503,103.239.169.0/24,133001,0.0,0.0,0.0,0.0,0.0,0.0,0.9507848522657242
1748643503,103.55.21.0/24,17439,0.0,0.0,0.0,0.0,1.0,0.0,0.9511705461262123
1748643503,115.112.217.0/24,141464,0.0,0.0,0.0,0.0,1.0,1.0,0.0
1748643503,103.173.214.0/24,137000,0.0,0.0,0.0,0.0,0.0,0.0,0.8917431440013883
1748643503,103.168.212.0/24,137000,0.0,0.0,0.0,0.0,0.0,0.0,0.8917431440013883
1748643503,103.148.249.0/24,134027,0.0,0.0,0.0,1.0,0.0,0.0,0.9054333163794991
1748643503,110.232.255.0/24,134319,0.0,0.0,0.0,0.0,0.0,0.0,0.9506343164493398
1748643503,103.196.133.0/24,24554,0.0,0.0,0.0,0.0,0.0,0.0,0.9491169484391456
1748643503,103.196.135.0/24,24554,0.0,0.0,0.0,0.0,0.0,0.0,0.9491169484391456
1748643503,103.196.134.0/24,24554,0.0,0.0,0.0,0.0,0.0,0.0,0.9491169484391456
1748643504,103.208.48.0/22,23650,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1748643533,156.236.19.0/24,21859,0.0,0.0,0.0,0.0,1.0,0.0,0.9964713004983785
1748643533,160.202.197.0/24,148000,0.0,0.0,0.0,1.0,1.0,0.0,0.0
1748643533,160.30.145.0/24,141308,0.0,0.0,0.0,0.0,0.0,0.0,0.8998402886964392
1748643533,161.248.159.0/24,132215,0.0,0.0,0.0,0.0,0.0,0.0,0.9490366219506926
1748643533,154.223.148.0/23,137443,0.0,1.0,0.0,0.0,0.0,0.0,0.9967449713892677
